iter	Passed	Remaining
221	105	369
222	105	368
223	105	366
224	106	365
225	106	363
226	106	362
227	106	361
228	106	359
229	107	358
230	107	357
231	107	355
232	107	354
233	107	353
234	108	351
235	108	350
236	108	349
237	108	347
238	108	346
239	109	345
240	109	343
241	109	342
242	109	341
243	109	340
244	110	339
245	110	337
246	110	336
247	110	335
248	110	334
249	111	333
250	111	331
251	111	330
252	111	329
253	111	328
254	112	327
255	112	326
256	112	325
257	112	323
258	112	322
259	113	321
260	113	320
261	113	319
262	113	318
263	113	317
264	114	316
265	114	315
266	114	314
267	114	313
268	114	312
269	115	310
270	115	310
271	115	309
272	115	308
273	115	306
274	116	306
275	116	305
276	116	304
277	116	303
278	116	302
279	117	301
280	117	300
281	117	299
282	117	298
283	118	297
284	118	296
285	118	295
286	118	294
287	118	293
288	119	292
289	119	291
290	119	291
291	122	296
292	122	296
293	123	295
294	123	294
295	123	293
296	123	292
297	123	291
298	123	290
299	124	289
300	124	288
301	124	287
302	124	286
303	124	285
304	129	294
305	129	293
306	129	292
307	129	291
308	129	290
309	130	289
310	130	288
311	130	287
312	130	286
313	130	286
314	131	285
315	132	287
316	133	286
317	133	285
318	133	285
319	133	284
320	133	283
321	134	282
322	134	281
323	134	280
324	134	279
325	134	278
326	134	277
327	135	276
328	135	276
329	135	275
330	135	274
331	135	273
332	136	272
333	136	272
334	136	271
335	137	271
336	137	270
337	137	269
338	137	268
339	137	267
340	138	266
341	138	265
342	138	265
343	138	264
344	138	263
345	138	262
346	139	261
347	139	261
348	139	260
349	139	259
350	139	258
351	140	258
352	140	257
353	140	256
354	140	255
355	140	255
356	141	254
357	141	253
358	141	252
359	141	251
360	141	251
361	142	250
362	142	249
363	142	249
364	142	248
365	143	247
366	143	246
367	143	246
368	143	245
369	143	244
370	143	244
371	144	243
372	144	242
373	144	242
374	144	241
375	144	240
376	145	239
377	145	239
378	145	238
379	145	238
380	146	237
381	146	236
382	146	236
383	147	235
384	147	235
385	147	234
386	147	234
387	148	233
388	148	233
389	148	232
390	149	232
391	149	231
392	149	230
393	149	230
394	149	229
395	150	229
396	150	228
397	150	227
398	150	227
399	151	226
400	151	226
401	151	225
402	152	225
403	152	225
404	152	224
405	153	224
406	153	223
407	153	222
408	153	222
409	154	221
410	154	221
411	154	220
412	155	220
413	155	219
414	155	219
415	155	218
416	155	218
417	156	217
418	156	216
419	156	216
420	156	215
421	157	215
422	157	214
423	157	214
424	157	213
425	158	212
426	158	212
427	158	211
428	158	211
429	158	210
430	159	210
431	159	209
432	159	208
433	159	208
434	159	207
435	160	207
436	160	206
437	160	205
438	160	205
439	160	204
440	161	204
441	161	203
442	161	203
443	161	202
444	162	202
445	162	201
446	162	201
447	162	200
448	163	200
449	163	199
450	163	199
451	163	198
452	164	198
453	164	197
454	164	197
455	164	196
456	164	195
457	165	195
458	165	194
459	165	194
460	165	193
461	166	193
462	166	192
463	166	192
464	166	191
465	166	191
466	167	190
467	167	190
468	167	189
469	167	189
470	167	188
471	168	188
472	168	187
473	168	187
474	168	186
475	168	186
476	169	185
477	169	184
478	169	184
479	169	183
480	170	183
481	170	182
482	170	182
483	170	181
484	170	181
485	171	181
486	171	180
487	171	180
488	171	179
489	172	179
490	172	178
491	172	178
492	172	177
493	172	177
494	173	176
495	173	176
496	173	175
497	173	175
498	173	174
499	174	174
500	174	173
501	174	173
502	174	172
503	174	172
504	175	171
505	175	171
506	175	170
507	175	170
508	175	169
509	176	169
510	176	168
511	176	168
512	176	167
513	176	167
514	177	166
515	177	166
516	177	165
517	177	165
518	178	165
519	178	164
520	178	164
521	178	163
522	178	163
523	179	162
524	179	162
525	179	161
526	179	161
527	179	160
528	180	160
529	180	159
530	180	159
531	180	159
532	180	158
533	181	158
534	181	157
535	181	157
536	181	156
537	182	156
538	182	155
539	182	155
540	182	154
541	182	154
542	182	154
543	183	153
544	183	153
545	183	152
546	183	152
547	184	151
548	184	151
549	184	150
550	184	150
551	184	150
552	185	149
553	185	149
554	185	148
555	185	148
556	186	147
557	186	147
558	186	147
559	186	146
560	186	146
561	187	145
562	187	145
563	187	144
564	187	144
565	187	144
566	188	143
567	188	143
568	188	142
569	188	142
570	189	142
571	189	141
572	189	141
573	189	140
574	189	140
575	190	139
576	190	139
577	190	139
578	190	138
579	190	138
580	191	137
581	191	137
582	191	137
583	191	136
584	191	136
585	192	135
586	192	135
587	192	134
588	192	134
589	192	134
590	193	133
591	193	133
592	193	132
593	193	132
594	194	132
595	194	131
596	194	131
597	194	130
598	195	130
599	195	130
600	195	129
601	195	129
602	195	128
603	196	128
604	196	128
605	196	127
606	196	127
607	196	126
608	196	126
609	197	126
610	197	125
611	197	125
612	197	124
613	197	124
614	198	124
615	198	123
616	198	123
617	198	122
618	199	122
619	199	122
620	199	121
621	199	121
622	199	120
623	200	120
624	200	120
625	200	119
626	200	119
627	200	118
628	201	118
629	201	118
630	201	117
631	201	117
632	201	117
633	202	116
634	202	116
635	202	115
636	202	115
637	202	115
638	203	114
639	203	114
640	203	114
641	203	113
642	204	113
643	204	112
644	204	112
645	204	112
646	204	111
647	205	111
648	205	111
649	205	110
650	205	110
651	206	109
652	206	109
653	206	109
654	207	109
655	207	108
656	207	108
657	207	108
658	208	107
659	208	107
660	208	107
661	208	106
662	209	106
663	209	105
664	209	105
665	209	105
666	210	104
667	210	104
668	210	104
669	210	103
670	210	103
671	211	103
672	211	102
673	211	102
674	211	101
675	211	101
676	212	101
677	212	100
678	212	100
679	212	100
680	213	99
681	213	99
682	213	99
683	213	98
684	214	98
685	214	98
686	214	97
687	214	97
688	214	97
689	215	96
690	215	96
691	215	95
692	215	95
693	216	95
694	216	94
695	216	94
696	216	94
697	216	93
698	217	93
699	217	93
700	217	92
701	217	92
702	218	92
703	218	91
704	218	91
705	218	91
706	218	90
707	219	90
708	219	90
709	219	89
710	219	89
711	219	88
712	220	88
713	220	88
714	220	87
715	220	87
716	220	87
717	221	86
718	221	86
719	221	86
720	221	85
721	222	85
722	222	85
723	222	84
724	222	84
725	222	84
726	223	83
727	223	83
728	223	83
729	223	82
730	223	82
731	224	82
732	224	81
733	224	81
734	224	81
735	225	80
736	226	80
737	227	80
738	227	80
739	227	80
740	228	79
741	228	79
742	228	79
743	228	78
744	229	78
745	229	78
746	229	77
747	229	77
748	229	77
749	230	76
750	230	76
751	230	76
752	230	75
753	230	75
754	231	75
755	231	74
756	231	74
757	231	73
758	232	73
759	232	73
760	232	73
761	232	72
762	232	72
763	233	72
764	233	71
765	233	71
766	233	71
767	233	70
768	234	70
769	234	69
770	234	69
771	234	69
772	234	68
773	235	68
774	235	68
775	235	67
776	235	67
777	235	67
778	236	66
779	236	66
780	236	66
781	236	65
782	236	65
783	237	65
784	237	64
785	237	64
786	237	64
787	237	64
788	238	63
789	238	63
790	238	63
791	238	62
792	238	62
793	239	62
794	239	61
795	239	61
796	239	61
797	239	60
798	240	60
799	240	60
800	240	59
801	240	59
802	240	59
803	241	58
804	241	58
805	241	58
806	241	57
807	241	57
808	242	57
809	242	56
810	242	56
811	242	56
812	242	55
813	243	55
814	243	55
815	243	54
816	243	54
817	243	54
818	244	53
819	244	53
820	244	53
821	244	52
822	244	52
823	245	52
824	245	52
825	245	51
826	245	51
827	245	51
828	246	50
829	246	50
830	246	50
831	246	49
832	246	49
833	247	49
834	247	48
835	247	48
836	247	48
837	247	47
838	248	47
839	248	47
840	248	47
841	248	46
842	248	46
843	249	46
844	249	45
845	249	45
846	249	45
847	249	44
848	250	44
849	250	44
850	250	43
851	250	43
852	250	43
853	251	42
854	251	42
855	251	42
856	251	42
857	251	41
858	252	41
859	252	41
860	252	40
861	252	40
862	252	40
863	253	39
864	253	39
865	253	39
866	253	38
867	253	38
868	254	38
869	254	38
870	254	37
871	254	37
872	254	37
873	255	36
874	255	36
875	255	36
876	255	35
877	255	35
878	256	35
879	256	34
880	256	34
881	256	34
882	257	34
883	257	33
884	257	33
885	257	33
886	257	32
887	257	32
888	258	32
889	258	31
890	258	31
891	258	31
892	258	31
893	259	30
894	259	30
895	259	30
896	259	29
897	259	29
898	260	29
899	260	28
900	260	28
901	260	28
902	260	28
903	261	27
904	261	27
905	261	27
906	261	26
907	261	26
908	262	26
909	262	25
910	262	25
911	262	25
912	262	25
913	263	24
914	263	24
915	263	24
916	263	23
917	263	23
918	264	23
919	264	22
920	264	22
921	264	22
922	264	22
923	265	21
924	265	21
925	265	21
926	265	20
927	265	20
928	266	20
929	266	20
930	266	19
931	266	19
932	266	19
933	267	18
934	267	18
935	267	18
936	267	17
937	267	17
938	268	17
939	268	17
940	268	16
941	268	16
942	268	16
943	269	15
944	269	15
945	269	15
946	269	15
947	269	14
948	270	14
949	270	14
950	270	13
951	270	13
952	270	13
953	271	13
954	271	12
955	271	12
956	271	12
957	271	11
958	272	11
959	272	11
960	272	11
961	272	10
962	272	10
963	273	10
964	273	9
965	273	9
966	273	9
967	273	9
968	274	8
969	274	8
970	274	8
971	274	7
972	274	7
973	275	7
974	275	7
975	275	6
976	275	6
977	275	6
978	276	5
979	276	5
980	276	5
981	276	5
982	276	4
983	277	4
984	277	4
985	277	3
986	277	3
987	277	3
988	278	3
989	278	2
990	278	2
991	278	2
992	278	1
993	279	1
994	279	1
995	279	1
996	279	0
997	279	0
998	280	0
999	280	0
