iter	Passed	Remaining
0	57	57690
1	58	28950
2	58	19363
3	58	14564
4	58	11682
5	58	9758
6	59	8387
7	59	7356
8	59	6555
9	59	5915
10	59	5392
11	60	4955
12	60	4585
13	60	4268
14	60	3993
15	61	3753
16	61	3541
17	61	3352
18	61	3183
19	61	3031
20	62	2893
21	62	2768
22	62	2654
23	62	2549
24	62	2455
25	63	2367
26	63	2285
27	63	2209
28	63	2138
29	64	2073
30	64	2010
31	64	1951
32	64	1896
33	64	1844
34	65	1796
35	65	1750
36	65	1707
37	65	1666
38	66	1627
39	66	1589
40	66	1554
41	66	1519
42	66	1487
43	67	1456
44	67	1427
45	67	1399
46	67	1372
47	67	1346
48	68	1321
49	68	1297
50	68	1274
51	68	1252
52	68	1230
53	69	1210
54	69	1190
55	69	1171
56	69	1153
57	69	1136
58	70	1119
59	70	1102
60	70	1086
61	70	1071
62	71	1060
63	71	1045
64	71	1032
65	72	1019
66	72	1005
67	72	992
68	72	979
69	72	967
70	72	954
71	73	943
72	73	931
73	73	920
74	73	909
75	73	899
76	74	889
77	74	879
78	74	869
79	74	859
80	74	850
81	75	841
82	75	831
83	75	822
84	75	814
85	75	806
86	76	798
87	76	790
88	76	782
89	76	775
90	76	767
91	77	760
92	77	753
93	77	746
94	77	740
95	77	733
96	78	727
97	78	720
98	78	714
99	78	708
100	78	702
101	79	696
102	79	690
103	79	684
104	79	679
105	79	674
106	80	668
107	80	663
108	80	658
109	80	653
110	80	648
111	81	643
112	81	638
113	81	633
114	81	628
115	81	623
116	81	618
117	82	614
118	82	609
119	82	605
120	82	601
121	82	596
122	83	592
123	83	588
124	83	584
125	83	581
126	83	576
127	84	576
128	85	574
129	85	571
130	86	571
131	86	568
132	86	565
133	87	563
134	87	559
135	87	556
136	88	554
137	88	551
138	88	547
139	88	544
140	88	541
141	88	537
142	89	534
143	89	531
144	89	527
145	89	524
146	89	521
147	90	518
148	90	515
149	90	512
150	90	509
151	90	506
152	91	504
153	91	501
154	91	498
155	91	495
156	91	493
157	92	490
158	92	487
159	92	485
160	92	481
161	92	479
162	92	476
163	93	474
164	93	471
165	93	469
166	93	467
167	93	464
168	94	462
169	94	459
170	94	457
171	94	455
172	94	453
173	95	451
174	96	452
175	96	450
176	96	448
177	96	446
178	96	444
179	97	442
180	97	440
181	97	438
182	97	436
183	97	434
184	98	432
185	98	430
186	98	428
187	98	426
188	98	424
189	99	422
190	99	420
191	99	418
192	99	416
193	99	414
194	99	412
195	100	410
196	100	409
197	100	407
198	100	405
199	100	403
200	101	402
201	101	400
202	101	398
203	101	397
204	101	395
205	102	393
206	102	392
207	102	391
208	102	389
209	103	387
210	103	386
211	103	384
212	103	383
213	103	381
214	104	380
215	104	378
216	104	377
217	104	375
218	104	374
219	105	372
220	105	371
